bounty_id,level,rank,firstName,lastName,fleetName,flagshipName,gender,faction,portrait,greetingText,suppressIntel,postedByFaction,creditReward,repReward,intelText,flagshipVariantId,fleetVariantIds,minimumFleetFP,playerFPScalingFactor,chanceToAutoRecover,specialItemRewards,neverSpawnWhenFactionHostile,neverSpawnWhenFactionNonHostile,neverSpawnBeforeCycle,neverSpawnBeforeLevel,neverSpawnBeforeFleetPoints
sylphon_bounty_cieve,30,sylphon_eccentric,Cieve,the Curious,Sylphon Explorers,SRD Cieve,FEMALE,sylphon,graphics/sylphon/portraits/portrait_cieve.png,An enemy? Excellent timing for some advanced weapon tests,FALSE,hegemony,750000,10,"New bounty, boss. Seems someone in the upper ranks of the Hegemony has had enough with indecision on whether to stike against Sylphon RnD and put out a bounty on one of their more eccentric commanders.",SRD_Synastry_cieve_combat,,400,1.3,1,,FALSE,FALSE,212,30,300
sylphon_bounty_takumi,30,sylphon_eccentric,Takumi,the Racer,Sylphon Racers,SRD Ultra-V,MALE,sylphon,graphics/portraits/portrait_ai2b.png,They say I'm the fastest in the sector. Try and catch me,FALSE,hegemony,250000,10,"New bounty, boss. Seems someone in the upper ranks of the Hegemony has had enough with indecision on whether to stike against Sylphon RnD and put out a bounty on one of their more eccentric commanders.",SRD_Celika_uv_racer,,200,1.1,1,,FALSE,FALSE,208,30,200
sylphon_bounty_balance,30,sylphon_eccentric,Balance,the Commander,Sylphon First Fleet,SRD Balance Unto All,MALE,sylphon,graphics/portraits/portrait_ai2b.png,You face the first fleet of the Sylphon navy. Please rethink your intentions before it is too late,FALSE,hegemony,1000000,10,"New bounty, boss. Seems someone in the upper ranks of the Hegemony has had enough with indecision on whether to stike against Sylphon RnD and put out a bounty on one of their more eccentric commanders.",SRD_Equilibrium_balance_flag,,500,1.4,1,,FALSE,FALSE,214,30,300
sylphon_bounty_deadeye,30,sylphon_eccentric,Deadeye,the Hunter,Sylphon Hunters,SRD Deadeaye,MALE,sylphon,graphics/portraits/portrait_ai2b.png,Prey,FALSE,hegemony,500000,10,"New bounty, boss. Seems someone in the upper ranks of the Hegemony has had enough with indecision on whether to stike against Sylphon RnD and put out a bounty on one of their more eccentric commanders.",SRD_Ascordia_deadeye_hunter,,300,1.2,1,,FALSE,FALSE,210,30,250
,,,,,,,,,,,,,,,,,,,,,,,,,,
# NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,
# bounty_id : line ID. Must be unique across all mods. I recommend a prefix,,,,,,,,,,,,,,,,,,,,,,,,,,
# level : character level of bounty captain,,,,,,,,,,,,,,,,,,,,,,,,,,
# rank : must match a rank ID in Ranks,,,,,,,,,,,,,,,,,,,,,,,,,,
# firstName : bounty captain's first name,,,,,,,,,,,,,,,,,,,,,,,,,,
# lastName : bounty captain's last name,,,,,,,,,,,,,,,,,,,,,,,,,,
# fleetName : full name of bounty fleet,,,,,,,,,,,,,,,,,,,,,,,,,,
# flagshipName : name of flagship. Needs to include prefix as it won't have it otherwise,,,,,,,,,,,,,,,,,,,,,,,,,,
# gender : must match a gender enum in FullName,,,,,,,,,,,,,,,,,,,,,,,,,,
# faction : faction id for bounty fleet and captain,,,,,,,,,,,,,,,,,,,,,,,,,,
# portrait : filepath for bounty portrait. Must be loaded by the game,,,,,,,,,,,,,,,,,,,,,,,,,,
# greetingText : full text that displays if/when you open comms with bounty fleet,,,,,,,,,,,,,,,,,,,,,,,,,,
# suppressIntel : if TRUE do not show intel event when bounty spawns,,,,,,,,,,,,,,,,,,,,,,,,,,
# postedByFaction : faction shown in intel panel as issuer of bounty. Also faction which rep reward applies to,,,,,,,,,,,,,,,,,,,,,,,,,,
# creditReward : credits paid out for bounty,,,,,,,,,,,,,,,,,,,,,,,,,,
# repReward : reputation points with issuing faction paid out for bounty on a 100 point scale,,,,,,,,,,,,,,,,,,,,,,,,,,
# intelText : ugh,,,,,,,,,,,,,,,,,,,,,,,,,,
# flagshipVariant : variant ID of bounty flagship,,,,,,,,,,,,,,,,,,,,,,,,,,
# fleetVariants : comma seperated list of variant ids for rest of bounty fleet,,,,,,,,,,,,,,,,,,,,,,,,,,
# specialItemsList : comma seperated list of special item ids dropped by fleet.  CURRENTLY DOES NOT WORK SORRY,,,,,,,,,,,,,,,,,,,,,,,,,,
# neverSpawnWhenFactionHostile : if TRUE never spawn when player is hostile to issuing faction,,,,,,,,,,,,,,,,,,,,,,,,,,
# neverSpawnWhenFactionNonHostile: if TRUE never spawn when player is friendly or neutral to target faction,,,,,,,,,,,,,,,,,,,,,,,,,,
# neverSpawnBeforeCycle : if over 206 never spawn before said cycle,,,,,,,,,,,,,,,,,,,,,,,,,,
# neverSpawnBeforeLevel : if over 1 never spawn when player is below said character level,,,,,,,,,,,,,,,,,,,,,,,,,,
# neverSpawnBeforeFleetPoints : if over 1 never spawn when player fleet is less than said fleet points,,,,,,,,,,,,,,,,,,,,,,,,,,
