name,id,tier,rarity,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sprite
Integrated Nullspace Conduits,SRD_nullspace_conduits,2,,special,Special,9999,,TRUE,,0,0,0,0,data.scripts.hullmods.SRD_NullspaceConduits,"%s%sThese special conduits allow the ship to 'skim' the surface of Nullspace. While they are not powerful enough to cause a full breach, they can have enough of an impact to improve the ship's top speed by up to %s while traveling in a straight line. The conduits also allow the ship's generator to partially operate in nullspace, causing energy weapons to use %s less flux (%s for beam weapons).

The energies released when such a device malfunctions is, however, far from harmless: %s. 

Also reduces the damage of harmful nullspace forces by %s.

Incompatible with %s.",Increases speed when traveling in a straight line. Reduces energy weapon flux cost. Damages anything nearby when overloading.,graphics/sylphon/hullmods/nullspace_conduit.png
Ambush Barrier,SRD_burst_shield_generator,2,,"defensive, shields",Shields,9999,,TRUE,,0,0,0,0,data.scripts.hullmods.SRD_BurstShieldGenerator,"A highly experimental shield generator is built into this ship's phase coils. While it has above average efficiency, it generates massive amounts of flux, and the intricacies of the device means that the ship is %s.",Unable to mount shield hullmods.,graphics/hullmods/accelerated_shields.png
Integrated Nullwave Emitter,SRD_nullwave_emitter,2,,defensive,Shields,9999,,TRUE,,0,0,0,0,data.scripts.hullmods.SRD_NullwaveEmitter,"A special device intended to remedy some of the weaknesses latent in nullspace-breaching technology. Instead of absorbing the counter-forces caused by nullspace, this unique piece of technology channels the energies into the ship's shield generator, allowing it to %s, as long as it has recently used its shipsystem.

Channeling these energies causes wild reactions to occur in nearby matter, however, sparking a chain reaction which %s. This cone is directed at whatever happens to be in the shield's arc upon deployment, be they friend or foe.

Due to the device being hard-linked into the shield generation system, the ship is %s.",Activating shields after ship system unleashes destruction.,graphics/sylphon/hullmods/integrated_nullspace_shunt.png
Nullspace Soother,SRD_nullspace_stabilizer,2,,special,Special,9999,,TRUE,,0,0,0,0,data.scripts.hullmods.SRD_NullspaceStabilizer,"A massive device which takes up almost half of the Seresvalla's mass, it is capable of 'calming' a large area of nullspace.

Out of combat, it boosts the entire fleet's Burn Level by %s, by reducing nullspace-related drive instabilities.

In combat, it increases the turn rate of any ships with %s by up to %s, while increasing their passive speed bonus from nullspace-skimming by %s.

Increases the monthly maintainance supply cost by %s. Also functions as %s.",Boosts performance for nearby Nullspace Conduits. Increases fleet burn level. Higher upkeep,graphics/sylphon/hullmods/SRD_nullspace_stabilizer.png
Nanolaminate Armor,SRD_nanolaminate_armor,2,,"defensive, shields",Armor,9999,,TRUE,,0,0,0,0,data.scripts.hullmods.SRD_NanolaminateArmor,"Special armor plating lined with tiny linear alternators and thermoelectric generators, enabling it to convert incoming weapons fire into spare energy for the ship's shield capacitors.

Each time the ship loses %s of its total armor (ignoring the damage reducing effect from %s) the ship's shield capacitors get supercharged; if the ship activates its shields within %s they will %s while firing harmful energy bolts at anything in the shield's arc.",Taking shield damage supercharges shields,graphics/sylphon/hullmods/SRD_nanolaminate_armor.png
Masterwork Optics,SRD_masterwork_optics,2,,special,Weapons,9999,,TRUE,,0,0,0,0,data.scripts.hullmods.SRD_MasterworkOptics,"These highly advanced optical lenses are instrumental in the Götterdämmerung's firing mechanism. While hard to maintain and service, they allow beams to keep their coherency for far longer than any comparable alternative; all beam weapons on the ship gains %s SU longer range.

Increases the monthly maintainance supply cost by %s, and increases recovery costs after deployment by %s.",Vastly increased beam range. Higher upkeep,graphics/sylphon/hullmods/SRD_masterwork_optics.png
Drone Carrier,SRD_drone_carrier,,,,Fighters,,,TRUE,,0,0,0,0,data.scripts.hullmods.SRD_DroneCarrier,"While mounted with modular carrier autoforges, this ship has fully automated the entire production and servicing chain. Its hangar bays, if they could even be called as such, are far too small and cramped to allow pilots to enter them, and operate in complete vacuum. Only fighter models specifically designed to be automated or remote-controlled are usable under these conditions.

The ship %s. However, its automated systems are far superior to comparable crewed alternatives: all fighters mounted on the ship has their refit time reduced by %s, while the ship's replacement rate degrades %s slower and recovers %s faster.

Incompatible with %s.",Better carrier performance. Cannot mount crewed fighters,graphics/sylphon/hullmods/SRD_drone_carrier.png
Super-Heavy Mountpoints,SRD_superheavy_weapons_frelia,,,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.SRD_SuperweaponBayConversion,"The Frelia is equipped with a pair of refit-able %s. These mounts cannot mount normal weapons, but they can mount super-heavy weapons that other ships cannot, including the fearsome %s cannon.

Slots are also designed to be easily converted into additional launch bays for the ship; the ship gains %s for each of these slots left empty.",Super-large mounts,graphics/sylphon/hullmods/harmonius_hullmod.png
,,,,,,,,,,,,,,,,,
Sylph Core,SRD_sylph_core,,,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.SRD_SylphCore,"This ship has had a voluntary AI-core integrated into the mainframe by the Sylphon. While upkeep is increased by %s to keep the core operating under peak conditions, the ship %s. The ship's crew capacity is however reduced by %s due to installation requirements.%s",Automated ship,graphics/sylphon/hullmods/SRD_sylph_core.png
