id,type,text1,text2,text3,notes
,,,,,
# Ships,,,,,
,,,,,
SRD_Equilibrium,SHIP,"The largest known vessel employed by Sylphon, the Equilibrium is a unique wing-shaped dreadnought with terrifying frontal firepower. Designed to engage enemies head-on it is equipped with a unique shield generator tied to its massive nullspace conduit system, granting it unparalleled frontal protection although it is incompatible with most conventional shielding technology. While seemingly vulnerable to flanking, the Equilibrium possesses surprising agility for a ship of its size by utilizing its nullspace skip system to quickly reposition or turn in battle, using excess energies to power a fast and volatile shield deployment system.

The result of a lengthy and expensive development initiative, the Equilibrium is the de-facto flagship of the Sylphon fleet. Utilizing countless advanced technologies it is a marvel of modern engineering in an age of common technological stagnation. While designed for military purposes, the vessel’s interior would have one think otherwise with spacious corridors and comfortable crew accomodations, a result of its high level of automation and employment of multiple AI cores, keeping the crew requirements low. With a multitude of civilian and scientific facilities, aswell as large logistical hangar bays, the ship can serve as a mobile base for both military and civilian operations.",,,
SRD_Seresvalla,SHIP,"A pinnacle of Sylphon engineering, the Seresvalla-class battlecruiser was built around a massive nullspace conduit, often referred to as soother, that is capable of generating a massive nullspace stabilization field. Capable of encompassing any normal battlescape, it provides all conduit-equipped vessels with enhanced mobility by boosting their skimming capabilities. These supporting abilities are augmented by a flux transfer system, capable of lowering the strain on allied flux grids and weaponizing excess flux.

While technically undergunned for a ship of its size, the Seresvalla boasts superior mobilitiy and can be equipped with powerful strike weapons, making it a favourite of many Sylphon fleet commanders.",,,
SRD_Rakia,SHIP,"To some known as the crown jewel of 5th generation Sylphon engineering, the Rakia is a ship without equal. An experimental design constructed around a modified phase coil that has been integrated with a massive conduit, as well as an oversized ion blaster, it is an excessively complex design.

The final product of years of research, the Rakia is the first ship capable of sustaining nullspace flight for extended periods of time, possessing a battlefield presence similar to phase ships but avoiding some of their major downfalls. Relying on AI to be reasonably controlled while under the effects of nullspace-induced hyperagility, the ship has proven impossible to control by normal humans and the complexity of its internal components has left little room for human-sized maintenance ducts, requiring full automation of many maintenance systems. What little interior space is available for human crew can only be described as cramped, but for all the discomfort the Rakia offers to its crew, serving aboard this marvel of Sylphon engineering is regarded as great honor to anyone in the Sylphon navy.

Augmenting its unique capabilities of nullspace travel is a suite of weapons uniquely designed for the Rakia. The massive Equity-type superheavy ion blaster and a pair of Harrow-type micromissile-batteries provide the ship with a disturbing amount of firepower while the armor polarization system adapted from 4th Generation vessels, gives it unparalleled protection from initial return fire, capable of buying enough time for the Rakia to retreat back into nullspace after unleashing its frightening alpha strike, often leaving targets crippled and easy prey to other Sylphon ships.",,,
SRD_Silverhead,SHIP,"One of the first ships equipped with nullspace conduit, the Silverhead may look similar to the Hammerhead-class destroyer it was based on, but this impression can be quite deceiving. Now converted to an all-energy weapons loadout and a nullspace skip system, the Silverhead has established itself as an agile combatant, capable of dictating its engagements as it pleases.",,,
SRD_Eagle,SHIP,"A modified variant of the common Eagle chassis, the Dread Eagle earned its name from its unusual hull structure, often described as unsettlingly organic-looking. In combination with its advanced nullspace jaunt system, allowing it to appear seemingly out of nowhere, it is said to instill dread in the bridge crews of any ship unlucky enough to encounter the Dread Eagle face to face.

The actual ship boasts a number of advanced upgrades over its older base design, carrying a larger weapons complement and improved shields.",,,
SRD_Hymnon,SHIP,"A delicate piece of engineering, the Hymnon was built around its oversized main weapon, dedicating half of its mass to it. With flux conduits barely capable of containing the massive energy flow, not much capacity is left for other weapons, shields or drives.

While generally limited in its range of application, it often finds a place in escort fleets due to its ability to swat whole fighter squadrons out of existence.",,,
SRD_Furika,SHIP,"A heavily overgunned frigate that relies on its nullspace shunt system to sustain its fire. Popular with more aggressive novice captains for it’s ability to unleash highly destructive barrages, the Furika is quite commonly seen throughout the sector in the hands of upstart mercenaries.",,,
